Year,State,Number of CoCs,Total_Homelessness,Sheltered_Homeless,Unsheltered_Homeless
2024,AK,2,"2,686","1,742",479
2024,AL,9,"4,601","1,408","2,698"
2024,AR,5,"2,783","1,114","1,334"
2024,AS,0,,,
2024,AZ,3,"14,737","5,796","7,291"
2024,CA,44,"187,084","52,415","123,974"
2024,CO,4,"18,715","11,620","4,791"
2024,CT,2,"3,410","2,467",574
2024,DC,1,"5,616","3,308",900
2024,DE,1,"1,358",888,238
2024,FL,27,"31,362","10,229","16,868"
2024,GA,9,"12,290","3,707","6,673"
2024,GU,1,"1,249",144,"1,104"
2024,HI,2,"11,637","6,975","4,042"
2024,IA,3,"2,631","1,616",464
2024,ID,2,"2,750","1,031","1,374"
2024,IL,19,"25,832","20,954","2,664"
2024,IN,2,"6,285","3,900","1,477"
2024,KS,5,"2,793","1,496",904
2024,KY,3,"5,231","2,923","1,716"
2024,LA,7,"3,469","1,513","1,558"
2024,MA,11,"29,360","26,309","1,635"
2024,MD,10,"6,069","3,925","1,036"
2024,ME,1,"2,702","1,682",273
2024,MI,20,"9,739","6,449","1,623"
2024,MN,10,"9,201","5,352","2,084"
2024,MO,8,"7,312","3,386","2,384"
2024,MP,0,,,
2024,MS,3,"1,041",378,486
2024,MT,1,"2,008",927,576
2024,NC,12,"11,626","5,679","4,523"
2024,ND,1,865,544,190
2024,NE,3,"2,720","1,901",301
2024,NH,3,"2,245","1,182",579
2024,NJ,16,"12,762","9,576","1,767"
2024,NM,2,"4,631","2,017","2,242"
2024,NV,3,"10,106","4,362","4,914"
2024,NY,24,"158,019","147,717","5,638"
2024,OH,9,"11,759","8,241","2,379"
2024,OK,8,"5,467","2,599","2,216"
2024,OR,8,"22,875","6,918","14,191"
2024,PA,16,"14,088","9,118","2,635"
2024,PR,2,"2,096",249,"1,565"
2024,RI,1,"2,442","1,738",534
2024,SC,4,"4,593","2,049","1,846"
2024,SD,1,"1,338",912,227
2024,TN,10,"8,280","3,166","4,348"
2024,TX,11,"27,987","12,026","12,339"
2024,UT,3,"3,869","2,415","1,008"
2024,VA,16,"7,141","5,004","1,581"
2024,VI,1,279,28,205
2024,VT,2,"3,458","3,217",167
2024,WA,6,"31,554","12,323","16,222"
2024,WI,4,"5,049","3,693",510
2024,WV,4,"1,779",891,788
2024,WY,1,501,259,89
2023,AK,2,"2,614","1,764",468
2023,AL,8,"3,304","1,396","1,456"
2023,AR,5,"2,609",987,"1,322"
2023,AS,0,,,
2023,AZ,3,"14,237","5,104","7,615"
2023,CA,44,"181,399","46,111","123,423"
2023,CO,4,"14,439","7,396","4,745"
2023,CT,2,"3,015","2,153",501
2023,DC,1,"4,922","3,029",825
2023,DE,1,"1,245",827,198
2023,FL,27,"30,756","10,843","15,482"
2023,GA,9,"12,294","4,398","5,828"
2023,GU,1,"1,075",169,901
2023,HI,2,"6,223","1,659","3,907"
2023,IA,3,"2,653","1,657",456
2023,ID,2,"2,298","1,005","1,058"
2023,IL,19,"11,947","8,106","1,619"
2023,IN,2,"6,017","3,849","1,161"
2023,KS,5,"2,636","1,416",755
2023,KY,3,"4,766","2,756","1,470"
2023,LA,7,"3,169","1,378","1,399"
2023,MA,12,"19,141","16,383","1,362"
2023,MD,10,"5,865","3,905",952
2023,ME,1,"4,258","3,153",299
2023,MI,20,"8,997","6,265","1,335"
2023,MN,10,"8,393","5,008","1,676"
